Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,USA,USA,US,318.41,373.38,50.13,26.69,
2022-01-02 00:00:00,USA,USA,US,346.43,406.77,45.09,22.77,
2022-01-03 00:00:00,USA,USA,US,374.18,440.91,38.99,18.84,
2022-01-04 00:00:00,USA,USA,US,339.06,400.94,44.87,25.50,
2022-01-05 00:00:00,USA,USA,US,345.59,406.39,44.92,24.74,
2022-01-06 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2022-01-07 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2022-01-08 00:00:00,USA,USA,US,358.29,418.50,45.13,25.65,
2022-01-09 00:00:00,USA,USA,US,349.98,408.64,46.69,25.40,
2022-01-10 00:00:00,USA,USA,US,397.32,462.66,38.58,18.50,
2022-01-11 00:00:00,USA,USA,US,380.85,446.43,40.16,21.22,
2022-01-12 00:00:00,USA,USA,US,382.76,447.54,40.36,20.50,
2022-01-13 00:00:00,USA,USA,US,395.35,462.29,37.56,16.83,
2022-01-14 00:00:00,USA,USA,US,374.37,436.71,42.22,21.27,
2022-01-15 00:00:00,USA,USA,US,360.81,421.42,44.65,24.56,
2022-01-16 00:00:00,USA,USA,US,402.36,469.17,37.98,18.57,
2022-01-17 00:00:00,USA,USA,US,401.08,467.55,37.99,18.56,
2022-01-18 00:00:00,USA,USA,US,369.79,431.58,43.21,23.85,
2022-01-19 00:00:00,USA,USA,US,359.75,419.34,45.04,25.37,
2022-01-20 00:00:00,USA,USA,US,391.68,455.36,39.85,20.46,
2022-01-21 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2022-01-22 00:00:00,USA,USA,US,408.03,475.82,36.56,18.17,
2022-01-23 00:00:00,USA,USA,US,402.43,469.32,37.81,18.44,
2022-01-24 00:00:00,USA,USA,US,392.64,458.36,39.24,20.11,
2022-01-25 00:00:00,USA,USA,US,406.62,472.95,37.26,18.21,
2022-01-26 00:00:00,USA,USA,US,410.33,477.66,36.66,18.36,
2022-01-27 00:00:00,USA,USA,US,405.44,471.90,37.84,19.57,
2022-01-28 00:00:00,USA,USA,US,405.65,471.62,38.05,19.29,
2022-01-29 00:00:00,USA,USA,US,410.07,477.11,37.22,18.54,
2022-01-30 00:00:00,USA,USA,US,409.90,476.11,38.04,18.80,
2022-01-31 00:00:00,USA,USA,US,405.70,471.23,38.77,19.17,
2022-02-01 00:00:00,USA,USA,US,364.16,424.88,44.38,24.53,
2022-02-02 00:00:00,USA,USA,US,361.57,421.66,44.41,24.52,
2022-02-03 00:00:00,USA,USA,US,378.31,440.42,41.64,22.77,
2022-02-04 00:00:00,USA,USA,US,394.71,459.95,38.49,19.79,
2022-02-05 00:00:00,USA,USA,US,383.16,448.00,39.93,21.14,
2022-02-06 00:00:00,USA,USA,US,369.94,431.81,42.74,23.73,
2022-02-07 00:00:00,USA,USA,US,401.71,467.52,37.89,19.02,
2022-02-08 00:00:00,USA,USA,US,370.70,434.21,41.61,22.33,
2022-02-09 00:00:00,USA,USA,US,363.20,425.98,42.38,22.53,
2022-02-10 00:00:00,USA,USA,US,366.07,428.99,42.01,21.51,
2022-02-11 00:00:00,USA,USA,US,323.10,379.86,49.20,28.11,
2022-02-12 00:00:00,USA,USA,US,345.16,403.33,46.70,25.07,
2022-02-13 00:00:00,USA,USA,US,384.31,448.96,39.84,19.05,
2022-02-14 00:00:00,USA,USA,US,388.39,453.44,39.51,20.14,
2022-02-15 00:00:00,USA,USA,US,357.42,418.75,44.54,25.22,
2022-02-16 00:00:00,USA,USA,US,329.92,385.53,49.76,29.10,
2022-02-17 00:00:00,USA,USA,US,327.65,381.99,50.29,28.82,
2022-02-18 00:00:00,USA,USA,US,363.72,425.16,43.19,23.15,
2022-02-19 00:00:00,USA,USA,US,359.13,420.78,43.43,23.43,
2022-02-20 00:00:00,USA,USA,US,318.65,375.01,50.12,29.17,
2022-02-21 00:00:00,USA,USA,US,320.01,374.97,50.64,29.58,
2022-02-22 00:00:00,USA,USA,US,329.77,385.52,49.08,28.62,
2022-02-23 00:00:00,USA,USA,US,360.20,420.86,43.69,24.07,
2022-02-24 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2022-02-25 00:00:00,USA,USA,US,410.97,479.80,34.68,16.04,
2022-02-26 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2022-02-27 00:00:00,USA,USA,US,379.44,443.31,40.20,19.84,
2022-02-28 00:00:00,USA,USA,US,377.33,442.06,40.03,19.97,
2022-03-01 00:00:00,USA,USA,US,376.36,440.07,40.89,20.16,
2022-03-02 00:00:00,USA,USA,US,378.79,442.99,40.12,19.05,
2022-03-03 00:00:00,USA,USA,US,358.53,420.03,43.22,22.30,
2022-03-04 00:00:00,USA,USA,US,325.17,383.34,48.08,27.53,
2022-03-05 00:00:00,USA,USA,US,302.78,356.79,52.11,30.55,
2022-03-06 00:00:00,USA,USA,US,303.72,356.77,52.50,30.54,
2022-03-07 00:00:00,USA,USA,US,333.40,391.11,47.30,27.06,
2022-03-08 00:00:00,USA,USA,US,366.84,431.75,40.37,21.00,
2022-03-09 00:00:00,USA,USA,US,364.98,430.23,40.05,21.10,
2022-03-10 00:00:00,USA,USA,US,358.64,421.90,42.07,22.88,
2022-03-11 00:00:00,USA,USA,US,343.44,404.20,44.90,25.90,
2022-03-12 00:00:00,USA,USA,US,354.79,417.34,43.12,24.54,
2022-03-13 00:00:00,USA,USA,US,332.88,392.46,46.82,28.17,
2022-03-14 00:00:00,USA,USA,US,319.75,377.22,49.13,29.57,
2022-03-15 00:00:00,USA,USA,US,,,,,Data is not complete enough to be published.
2022-03-16 00:00:00,USA,USA,US,319.38,377.35,48.54,27.85,
2022-03-17 00:00:00,USA,USA,US,308.66,365.08,50.20,29.45,
2022-03-18 00:00:00,USA,USA,US,309.19,366.26,49.88,29.06,
2022-03-19 00:00:00,USA,USA,US,340.93,401.15,45.29,23.51,
2022-03-20 00:00:00,USA,USA,US,302.83,357.94,51.66,29.43,
2022-03-21 00:00:00,USA,USA,US,285.94,340.16,53.42,32.41,
2022-03-22 00:00:00,USA,USA,US,298.93,354.31,51.57,30.84,
2022-03-23 00:00:00,USA,USA,US,298.35,355.36,50.66,30.32,
2022-03-24 00:00:00,USA,USA,US,332.40,393.39,45.38,25.23,
2022-03-25 00:00:00,USA,USA,US,336.45,397.82,44.94,24.51,
