Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,USA,USA,US,362.10,424.34,42.49,19.79,
2021-01-02 00:00:00,USA,USA,US,378.85,442.96,40.13,17.04,
2021-01-03 00:00:00,USA,USA,US,359.16,421.01,43.29,20.25,
2021-01-04 00:00:00,USA,USA,US,363.53,427.44,41.67,20.06,
2021-01-05 00:00:00,USA,USA,US,372.81,437.20,40.82,19.52,
2021-01-06 00:00:00,USA,USA,US,357.28,419.07,43.77,22.67,
2021-01-07 00:00:00,USA,USA,US,392.58,457.63,38.84,17.96,
2021-01-08 00:00:00,USA,USA,US,413.93,482.25,35.15,14.54,
2021-01-09 00:00:00,USA,USA,US,423.12,491.71,34.18,13.36,
2021-01-10 00:00:00,USA,USA,US,414.20,481.88,35.51,14.50,
2021-01-11 00:00:00,USA,USA,US,404.57,472.70,36.00,16.03,
2021-01-12 00:00:00,USA,USA,US,400.05,466.94,37.12,16.94,
2021-01-13 00:00:00,USA,USA,US,379.43,443.60,40.51,20.01,
2021-01-14 00:00:00,USA,USA,US,354.27,414.47,44.95,23.99,
2021-01-15 00:00:00,USA,USA,US,351.63,411.51,45.37,24.03,
2021-01-16 00:00:00,USA,USA,US,374.17,436.09,42.42,20.39,
2021-01-17 00:00:00,USA,USA,US,378.89,440.73,42.17,19.66,
2021-01-18 00:00:00,USA,USA,US,386.62,448.03,41.91,20.05,
2021-01-19 00:00:00,USA,USA,US,372.77,432.71,43.66,22.35,
2021-01-20 00:00:00,USA,USA,US,376.86,438.52,42.22,20.69,
2021-01-21 00:00:00,USA,USA,US,369.84,431.53,42.68,21.22,
2021-01-22 00:00:00,USA,USA,US,381.80,445.37,40.37,18.51,
2021-01-23 00:00:00,USA,USA,US,387.09,449.98,40.50,18.61,
2021-01-24 00:00:00,USA,USA,US,385.01,446.83,41.33,18.78,
2021-01-25 00:00:00,USA,USA,US,381.03,442.38,41.87,20.05,
2021-01-26 00:00:00,USA,USA,US,379.97,442.38,41.06,19.24,
2021-01-27 00:00:00,USA,USA,US,398.31,463.36,38.29,16.89,
2021-01-28 00:00:00,USA,USA,US,390.59,455.35,39.37,19.05,
2021-01-29 00:00:00,USA,USA,US,381.58,444.79,41.34,21.49,
2021-01-30 00:00:00,USA,USA,US,363.39,423.47,44.54,23.52,
2021-01-31 00:00:00,USA,USA,US,358.01,417.01,45.60,22.97,
2021-02-01 00:00:00,USA,USA,US,407.57,473.49,37.16,16.15,
2021-02-02 00:00:00,USA,USA,US,400.59,465.93,38.37,18.08,
